workload,n_banks,variant,total_deltas,cycles,wall_time_ms,throughput_ops_per_ms,merge_time_us,overflow_detected
W6.1_xor_N1,1,xor,50000,50000,37.5818,1330.43,0.2757,False
W6.1_xor_N1,1,xor,50000,50000,37.8732,1320.19,0.2791,False
W6.1_xor_N1,1,xor,50000,50000,38.3181,1304.87,0.2818,False
W6.1_xor_N1,1,xor,50000,50000,37.7066,1326.03,0.2776,False
W6.1_xor_N1,1,xor,50000,50000,38.2173,1308.31,0.2815,False
W6.1_xor_N1,1,xor,50000,50000,38.4342,1300.92,0.2819,False
W6.1_xor_N1,1,xor,50000,50000,37.9004,1319.25,0.2752,False
W6.1_xor_N1,1,xor,50000,50000,39.9341,1252.06,0.2821,False
W6.1_xor_N1,1,xor,50000,50000,38.6185,1294.72,0.2799,False
W6.1_xor_N1,1,xor,50000,50000,38.6152,1294.83,0.2826,False
W6.1_xor_N1,1,xor,50000,50000,37.536,1332.05,0.2772,False
W6.1_xor_N1,1,xor,50000,50000,38.1679,1310.0,0.2859,False
W6.1_xor_N1,1,xor,50000,50000,37.937,1317.97,0.2769,False
W6.1_xor_N1,1,xor,50000,50000,37.732,1325.14,0.2735,False
W6.1_xor_N1,1,xor,50000,50000,37.4093,1336.57,0.2744,False
W6.1_xor_N1,1,xor,50000,50000,37.4105,1336.52,0.2754,False
W6.1_xor_N1,1,xor,50000,50000,38.2268,1307.98,0.2744,False
W6.1_xor_N1,1,xor,50000,50000,38.1028,1312.24,0.2765,False
W6.1_xor_N1,1,xor,50000,50000,37.5093,1333.0,0.2757,False
W6.1_xor_N1,1,xor,50000,50000,37.4677,1334.48,0.2757,False
W6.1_xor_N1,1,xor,50000,50000,39.3137,1271.82,0.2791,False
W6.1_xor_N1,1,xor,50000,50000,38.0904,1312.67,0.2824,False
W6.1_xor_N1,1,xor,50000,50000,37.9481,1317.59,0.2758,False
W6.1_xor_N1,1,xor,50000,50000,38.3797,1302.77,0.277,False
W6.1_xor_N1,1,xor,50000,50000,37.9988,1315.83,0.2766,False
W6.1_xor_N1,1,xor,50000,50000,38.8584,1286.72,0.2885,False
W6.1_xor_N1,1,xor,50000,50000,37.9582,1317.24,0.2798,False
W6.1_xor_N1,1,xor,50000,50000,37.9591,1317.21,0.2751,False
W6.1_xor_N1,1,xor,50000,50000,37.9545,1317.37,0.2764,False
W6.1_xor_N1,1,xor,50000,50000,37.9808,1316.45,0.2761,False
W6.1_xor_N1,1,xor,50000,50000,38.3195,1304.82,0.2786,False
W6.1_xor_N1,1,xor,50000,50000,37.7752,1323.62,0.2801,False
W6.1_xor_N1,1,xor,50000,50000,37.7287,1325.25,0.2752,False
W6.1_xor_N1,1,xor,50000,50000,37.7484,1324.56,0.2735,False
W6.1_xor_N1,1,xor,50000,50000,37.9224,1318.48,0.2742,False
W6.1_xor_N1,1,xor,50000,50000,37.918,1318.63,0.2743,False
W6.1_xor_N1,1,xor,50000,50000,38.2725,1306.42,0.2876,False
W6.1_xor_N1,1,xor,50000,50000,38.4352,1300.89,0.2792,False
W6.1_xor_N1,1,xor,50000,50000,37.8803,1319.95,0.2766,False
W6.1_xor_N1,1,xor,50000,50000,37.7367,1324.97,0.2757,False
W6.1_xor_N1,1,xor,50000,50000,37.7612,1324.11,0.2749,False
W6.1_xor_N1,1,xor,50000,50000,37.843,1321.25,0.2766,False
W6.1_xor_N1,1,xor,50000,50000,37.7004,1326.25,0.2758,False
W6.1_xor_N1,1,xor,50000,50000,37.8097,1322.41,0.2782,False
W6.1_xor_N1,1,xor,50000,50000,38.0031,1315.68,0.2779,False
W6.1_xor_N1,1,xor,50000,50000,38.2243,1308.07,0.2796,False
W6.1_xor_N1,1,xor,50000,50000,37.758,1324.22,0.277,False
W6.1_xor_N1,1,xor,50000,50000,37.5686,1330.9,0.278,False
W6.1_xor_N1,1,xor,50000,50000,38.2917,1305.77,0.281,False
